Simulation time (in s),avgServedBlocksDl-SingleCell_withSecondaryGnb-masterEnb #comment:- Number of resource block (values in blocks) by Enb in downlink with total reource blocks=50.,Simulation time (in sec),avgServedBlocksDl-SingleCell_withSecondaryGnb-secondarygnb #comment:- Number of resource block (values in blocks) by gnb in downlink with total reource blocks=50.
0.648,0,0.648,0
0.649,0,0.649,0
0.65,0,0.65,0
0.651,1,0.651,0
0.652,0,0.652,3
0.653,1,0.653,2
0.654,2,0.654,2
0.655,1,0.655,1
0.656,1,0.656,1
0.657,1,0.657,0
0.658,0,0.658,0
0.659,1,0.659,1
0.66,3,0.66,0
0.661,0,0.661,1
0.662,0,0.662,0
0.663,0,0.663,0
0.664,0,0.664,0
0.665,0,0.665,0
0.666,0,0.666,0
0.667,0,0.667,0
0.668,0,0.668,0
0.669,0,0.669,0
0.67,0,0.67,0
0.671,1,0.671,0
0.672,0,0.672,3
0.673,1,0.673,2
0.674,2,0.674,2
0.675,1,0.675,1
0.676,1,0.676,1
0.677,1,0.677,0
0.678,0,0.678,0
0.679,1,0.679,1
0.68,3,0.68,0
0.681,0,0.681,1
0.682,0,0.682,0
0.683,0,0.683,0
0.684,0,0.684,0
0.685,0,0.685,0
0.686,0,0.686,0
0.687,0,0.687,1
0.688,0,0.688,0
0.689,0,0.689,0
0.69,0,0.69,0
0.691,1,0.691,0
0.692,0,0.692,3
0.693,1,0.693,2
0.694,2,0.694,2
0.695,1,0.695,1
0.696,1,0.696,1
0.697,1,0.697,0
0.698,0,0.698,0
0.699,1,0.699,1
0.7,3,0.7,0
0.701,1,0.701,0
0.702,0,0.702,0
0.703,0,0.703,0
0.704,0,0.704,0
0.705,0,0.705,0
0.706,0,0.706,0
0.707,0,0.707,0
0.708,0,0.708,0
0.709,0,0.709,0
0.71,0,0.71,0
0.711,1,0.711,0
0.712,0,0.712,3
0.713,1,0.713,2
0.714,2,0.714,2
0.715,1,0.715,1
0.716,1,0.716,1
0.717,1,0.717,0
0.718,0,0.718,0
0.719,1,0.719,1
0.72,3,0.72,0
0.721,0,0.721,1
0.722,0,0.722,0
0.723,0,0.723,0
0.724,0,0.724,0
0.725,0,0.725,1
0.726,0,0.726,0
0.727,0,0.727,0
0.728,0,0.728,0
0.729,0,0.729,0
0.73,0,0.73,0
0.731,1,0.731,0
0.732,0,0.732,3
0.733,1,0.733,2
0.734,2,0.734,2
0.735,1,0.735,1
0.736,1,0.736,1
0.737,1,0.737,0
0.738,0,0.738,0
0.739,1,0.739,2
0.74,3,0.74,1
0.741,0,0.741,1
0.742,0,0.742,0
0.743,0,0.743,0
0.744,0,0.744,0
0.745,0,0.745,1
0.746,0,0.746,0
0.747,0,0.747,0
0.748,0,0.748,0
0.749,0,0.749,0
0.75,0,0.75,0
0.751,1,0.751,0
0.752,0,0.752,3
0.753,1,0.753,2
0.754,2,0.754,2
0.755,1,0.755,1
0.756,1,0.756,1
0.757,1,0.757,0
0.758,0,0.758,1
0.759,1,0.759,1
0.76,3,0.76,0
0.761,0,0.761,1
0.762,0,0.762,0
0.763,0,0.763,0
0.764,0,0.764,0
0.765,0,0.765,1
0.766,0,0.766,0
0.767,0,0.767,0
0.768,0,0.768,0
0.769,0,0.769,0
0.77,0,0.77,0
0.771,1,0.771,0
0.772,0,0.772,3
0.773,1,0.773,2
0.774,2,0.774,2
0.775,1,0.775,1
0.776,1,0.776,1
0.777,1,0.777,0
0.778,0,0.778,0
0.779,1,0.779,1
0.78,3,0.78,0
0.781,0,0.781,0
0.782,0,0.782,0
0.783,0,0.783,0
0.784,0,0.784,0
0.785,0,0.785,0
0.786,0,0.786,0
0.787,0,0.787,0
0.788,0,0.788,0
0.789,0,0.789,0
0.79,0,0.79,0
0.791,1,0.791,0
0.792,0,0.792,3
0.793,1,0.793,2
0.794,2,0.794,2
0.795,1,0.795,1
0.796,1,0.796,1
0.797,1,0.797,0
0.798,0,0.798,1
0.799,1,0.799,1
0.8,3,0.8,0
0.801,0,0.801,0
0.802,0,0.802,0
0.803,0,0.803,0
0.804,0,0.804,0
0.805,0,0.805,1
0.806,0,0.806,0
0.807,0,0.807,0
0.808,0,0.808,0
0.809,0,0.809,0
0.81,0,0.81,0
0.811,1,0.811,0
0.812,0,0.812,3
0.813,1,0.813,2
0.814,2,0.814,2
0.815,1,0.815,1
0.816,1,0.816,1
0.817,1,0.817,0
0.818,0,0.818,0
0.819,1,0.819,1
0.82,3,0.82,0
0.821,1,0.821,1
0.822,0,0.822,0
0.823,0,0.823,0
0.824,0,0.824,0
0.825,0,0.825,0
0.826,0,0.826,0
0.827,0,0.827,0
0.828,0,0.828,0
0.829,0,0.829,0
0.83,0,0.83,0
0.831,1,0.831,0
0.832,0,0.832,3
0.833,1,0.833,2
0.834,2,0.834,2
0.835,1,0.835,1
0.836,1,0.836,1
0.837,1,0.837,0
0.838,0,0.838,0
0.839,1,0.839,1
0.84,3,0.84,0
0.841,0,0.841,0
0.842,0,0.842,0
0.843,0,0.843,0
0.844,0,0.844,0
0.845,0,0.845,0
0.846,0,0.846,0
0.847,0,0.847,0
0.848,0,0.848,0
0.849,0,0.849,0
0.85,0,0.85,0
0.851,1,0.851,0
0.852,0,0.852,3
0.853,1,0.853,2
0.854,2,0.854,2
0.855,1,0.855,1
0.856,1,0.856,1
0.857,1,0.857,0
0.858,0,0.858,0
0.859,1,0.859,1
0.86,3,0.86,0
0.861,1,0.861,1
0.862,0,0.862,0
0.863,0,0.863,0
0.864,0,0.864,0
0.865,0,0.865,0
0.866,0,0.866,0
0.867,0,0.867,0
0.868,0,0.868,0
0.869,0,0.869,0
0.87,0,0.87,0
0.871,1,0.871,0
0.872,0,0.872,3
0.873,1,0.873,2
0.874,2,0.874,2
0.875,1,0.875,1
0.876,1,0.876,1
0.877,1,0.877,0
0.878,0,0.878,0
0.879,1,0.879,1
0.88,3,0.88,1
0.881,0,0.881,0
0.882,0,0.882,0
0.883,0,0.883,0
0.884,0,0.884,0
0.885,0,0.885,1
0.886,0,0.886,1
0.887,0,0.887,0
0.888,0,0.888,0
0.889,0,0.889,0
0.89,0,0.89,0
0.891,1,0.891,0
0.892,0,0.892,3
0.893,1,0.893,2
0.894,2,0.894,2
0.895,1,0.895,1
0.896,1,0.896,1
0.897,1,0.897,0
0.898,0,0.898,0
0.899,1,0.899,1
0.9,3,0.9,0
0.901,1,0.901,0
0.902,0,0.902,0
0.903,0,0.903,0
0.904,0,0.904,0
0.905,1,0.905,0
0.906,0,0.906,0
0.907,0,0.907,0
0.908,0,0.908,0
0.909,0,0.909,0
0.91,0,0.91,0
0.911,1,0.911,0
0.912,0,0.912,3
0.913,1,0.913,2
0.914,2,0.914,2
0.915,1,0.915,1
0.916,1,0.916,1
0.917,1,0.917,0
0.918,0,0.918,0
0.919,1,0.919,1
0.92,3,0.92,0
0.921,1,0.921,0
0.922,0,0.922,0
0.923,0,0.923,0
0.924,0,0.924,0
0.925,0,0.925,0
0.926,0,0.926,0
0.927,0,0.927,0
0.928,0,0.928,0
0.929,0,0.929,0
0.93,0,0.93,0
0.931,1,0.931,0
0.932,0,0.932,3
0.933,1,0.933,2
0.934,2,0.934,2
0.935,1,0.935,1
0.936,1,0.936,1
0.937,1,0.937,0
0.938,0,0.938,0
0.939,1,0.939,1
0.94,3,0.94,0
0.941,0,0.941,1
0.942,0,0.942,0
0.943,0,0.943,0
0.944,0,0.944,0
0.945,0,0.945,0
0.946,0,0.946,0
0.947,0,0.947,0
0.948,0,0.948,0
0.949,0,0.949,0
0.95,0,0.95,0
0.951,1,0.951,0
0.952,0,0.952,3
0.953,1,0.953,2
0.954,2,0.954,2
0.955,1,0.955,1
0.956,1,0.956,1
0.957,1,0.957,0
0.958,0,0.958,0
0.959,1,0.959,1
0.96,3,0.96,0
0.961,1,0.961,0
0.962,0,0.962,0
0.963,0,0.963,0
0.964,0,0.964,0
0.965,0,0.965,0
0.966,0,0.966,0
0.967,0,0.967,0
0.968,0,0.968,0
0.969,0,0.969,0
0.97,0,0.97,0
0.971,1,0.971,0
0.972,0,0.972,3
0.973,1,0.973,2
0.974,2,0.974,2
0.975,1,0.975,1
0.976,1,0.976,1
0.977,1,0.977,0
0.978,0,0.978,0
0.979,1,0.979,1
0.98,3,0.98,0
0.981,0,0.981,0
0.982,0,0.982,0
0.983,0,0.983,0
0.984,0,0.984,0
0.985,0,0.985,1
0.986,0,0.986,0
0.987,0,0.987,0
0.988,0,0.988,0
0.989,0,0.989,0
0.99,0,0.99,0
0.991,1,0.991,0
0.992,0,0.992,3
0.993,1,0.993,2
0.994,2,0.994,2
0.995,1,0.995,1
0.996,1,0.996,1
0.997,1,0.997,0
0.998,0,0.998,0
0.999,1,0.999,1
1,3,1,1
1.001,0,1.001,0
1.002,0,1.002,0
1.003,0,1.003,0
1.004,0,1.004,0
1.005,0,1.005,1
1.006,0,1.006,1
1.007,0,1.007,0
1.008,0,1.008,0
1.009,0,1.009,0
1.01,0,1.01,0
1.011,1,1.011,0
1.012,0,1.012,3
1.013,1,1.013,2
1.014,2,1.014,2
1.015,1,1.015,1
1.016,1,1.016,1
1.017,1,1.017,0
1.018,0,1.018,0
1.019,1,1.019,1
1.02,3,1.02,1
1.021,1,1.021,1
1.022,0,1.022,0
1.023,0,1.023,0
1.024,0,1.024,0
1.025,0,1.025,0
1.026,0,1.026,1
1.027,0,1.027,1
1.028,0,1.028,0
1.029,0,1.029,0
1.03,0,1.03,0
1.031,1,1.031,0
1.032,0,1.032,3
1.033,1,1.033,2
1.034,2,1.034,2
1.035,1,1.035,1
1.036,1,1.036,1
1.037,1,1.037,0
1.038,0,1.038,0
1.039,1,1.039,1
1.04,3,1.04,1
1.041,0,1.041,0
1.042,0,1.042,0
1.043,0,1.043,0
1.044,0,1.044,0
1.045,0,1.045,0
1.046,1,1.046,1
1.047,0,1.047,0
1.048,0,1.048,0
1.049,0,1.049,0
1.05,0,1.05,0
1.051,1,1.051,0
1.052,0,1.052,4
1.053,1,1.053,2
1.054,3,1.054,2
1.055,1,1.055,1
1.056,2,1.056,1
1.057,2,1.057,0
1.058,0,1.058,0
1.059,1,1.059,1
1.06,3,1.06,1
1.061,1,1.061,0
1.062,0,1.062,0
1.063,0,1.063,0
1.064,0,1.064,0
1.065,0,1.065,0
1.066,0,1.066,1
1.067,0,1.067,0
1.068,0,1.068,0
1.069,0,1.069,0
1.07,0,1.07,0
1.071,1,1.071,0
1.072,0,1.072,3
1.073,1,1.073,2
1.074,2,1.074,2
1.075,1,1.075,1
1.076,1,1.076,1
1.077,1,1.077,0
1.078,0,1.078,0
1.079,1,1.079,1
1.08,3,1.08,1
1.081,0,1.081,0
1.082,0,1.082,0
1.083,0,1.083,0
1.084,0,1.084,0
1.085,0,1.085,1
1.086,1,1.086,1
1.087,0,1.087,0
1.088,0,1.088,0
1.089,0,1.089,0
1.09,0,1.09,0
1.091,1,1.091,0
1.092,0,1.092,4
1.093,1,1.093,2
1.094,3,1.094,2
1.095,1,1.095,1
1.096,2,1.096,1
1.097,2,1.097,0
1.098,0,1.098,0
1.099,1,1.099,1
1.1,3,1.1,0
1.101,0,1.101,0
1.102,0,1.102,0
1.103,0,1.103,0
1.104,0,1.104,0
1.105,0,1.105,0
1.106,0,1.106,0
1.107,0,1.107,0
1.108,0,1.108,0
1.109,0,1.109,0
1.11,0,1.11,0
1.111,1,1.111,0
1.112,0,1.112,3
1.113,1,1.113,2
1.114,2,1.114,2
